
1
7	10
5000000	10940	10000000	2735	2000000	2796	500000	1124	250000	213	250000	280	2000000	2431
10000000	16105	20000000	4026	4000000	5591	1000000	2249	500000	425	500000	559	2000000	2431
15000000	18233	30000000	4558	6000000	8387	1500000	3373	750000	638	750000	839	3000000	3647
20000000	20360	40000000	5090	8000000	11183	2000000	4497	1000000	851	1000000	1118	5000000	6078
25000000	22487	50000000	5622	10000000	13978	2500000	5622	1250000	1064	1250000	1398	5000000	6078
30000000	24614	60000000	6154	10000000	13978	3000000	6746	1500000	1276	1500000	1677	5000000	6078
35000000	26741	70000000	6685	10000000	13978	3500000	7870	1750000	1489	1750000	1957	5000000	6078
40000000	28868	80000000	7217	10000000	13978	4000000	8995	2000000	1702	2000000	2237	5000000	6078
45000000	30995	90000000	7749	10000000	13978	4500000	10119	2250000	1914	2250000	2516	5000000	6078
50000000	33123	100000000	8281	10000000	13978	5000000	11243	2500000	2127	2500000	2796	5000000	6078
